model,accuracy,precision,recall,f1,roc_auc
RF + AE,0.9775978915662651,0.6803632236095346,0.9207373271889401,0.7825065274151436,0.9898945843813236
XGB + AE,0.9685751936316696,0.5880660015349194,0.9416282642089093,0.7239872445966694,0.9912571504347064
