model,accuracy,precision,recall,f1,roc_auc
Random Forest + LDA,0.8780792814113597,0.21857447220608173,0.693394777265745,0.33237611368824094,0.8928435656688237
XGBoost + LDA,0.8027646299483648,0.16223734832790768,0.8420890937019969,0.2720595533498759,0.9069701143955069
